1_73_2;2;1073N;0450
1_73_3;1;1073N;0540
1_73_5;2;1073;0621
1_73_6;1;1073;0709
1_73_8;2;1073;0800
1_73_10;2;1073;1352
1_73_12;1;1073;1451
1_73_13;2;1073;1545
1_73_15;1;1073;1642
1_73_16;2;1073;1741
1_73_17;1;1073;1827
1_73_19;2;1073;1922
1_73_20;1;1073;2007
1_73_21;2;1073N;0513
1_73_22;1;1073N;0600
1_73_23;2;1073;0651
1_73_24;1;1073;0741
1_73_25;2;1073;0831
1_73_27;1;1073;0925
1_73_29;2;1073;1012
1_73_30;1;1073;1105
1_73_32;2;1073;1152
1_73_33;1;1073;1244
1_73_35;2;1073;1332
1_73_37;1;1073;1432
1_73_39;2;1073;1525
1_73_40;1;1073;1620
1_73_41;2;1073;1717
1_73_42;1;1073;1807
1_73_44;2;1073;1902
1_73_45;1;1073;1947
1_73_47;2;1073;2044
1_73_48;1;1073;2129
1_73_50;2;1073N;2214
1_73_52;1;1073N;2300
1_73_53;2;1073N;2344
1_73_55;1;1073N;0030
1_73_56;2;1073N;0533
1_73_57;1;1073N;0620
1_73_58;2;1073;0709
1_73_60;1;1073;0801
1_73_61;2;1073;0852
1_73_62;1;1073;0945
1_73_64;2;1073;1032
1_73_65;1;1073;1125
1_73_67;2;1073;1212
1_73_68;1;1073;1303
1_73_69;2;1073;1412
1_73_71;1;1073;1510
1_73_72;2;1073;1605
1_73_74;1;1073;1703
1_73_75;2;1073;1802
1_73_76;1;1073;1847
1_73_78;2;1073;1942
1_73_79;1;1073;2027
1_73_80;2;1073;2114
1_73_82;1;1073;2201
1_73_83;2;1073N;2244
1_73_85;1;1073N;2330
1_73_86;2;1073N;0014
1_73_88;1;1073N;0100
1_73_89;2;1073;0551
1_73_91;1;1073;0636
1_73_93;2;1073;0727
1_73_95;1;1073;0823
1_73_96;2;1073;0912
1_73_97;1;1073;1005
1_73_99;2;1073;1052
1_73_100;1;1073;1144
1_73_102;2;1073;1232
1_73_103;1;1073;1323
1_73_105;2;1073;1425
1_73_106;1;1073;1520
1_73_107;2;1073;1615
1_73_109;1;1073;1713
1_73_111;2;1073;0601
1_73_112;1;1073;0650
1_73_114;2;1073;0743
1_73_116;1;1073;0844
1_73_117;2;1073;0932
1_73_118;1;1073;1025
1_73_120;2;1073;1112
1_73_121;1;1073;1204
1_73_123;2;1073;1252
1_73_124;1;1073;1343
1_73_126;2;1073;1435
1_73_127;1;1073;1530
1_73_129;2;1073;1625
1_73_131;1;1073;1724
1_73_132;2;1073;1822
1_73_133;1;1073;1907
1_73_135;2;1073;2003
1_73_136;1;1073;2047
1_73_137;2;1073N;2144
1_73_139;1;1073N;2230
1_73_140;2;1073N;2314
1_73_142;1;1073N;0000
1_73_143;2;1073N;0044
1_73_145;1;1073N;0130
1_73_146;2;1073;0611
1_73_148;1;1073;0659
1_73_149;2;1073;0750
1_73_151;1;1073;0854
1_73_152;1;1073;1413
1_73_154;2;1073;1505
1_73_156;1;1073;1600
1_73_158;2;1073;1656
1_73_159;1;1073;1755
1_73_161;2;1073;0631
1_73_163;1;1073;0719
1_73_164;2;1073;0810
1_73_166;1;1073;0905
1_73_168;2;1073;0952
1_73_169;1;1073;1045
1_73_171;2;1073;1132
1_73_172;1;1073;1224
1_73_174;2;1073;1312
1_73_175;1;1073;1403
1_73_176;2;1073;1455
1_73_178;1;1073;1550
1_73_179;2;1073;1645
1_73_181;1;1073;1745
1_73_183;2;1073;1842
1_73_184;1;1073;1927
1_73_186;2;1073;2023
1_73_187;1;1073;2107
1_73_188;2;1073;0641
1_73_189;1;1073;0731
1_73_191;2;1073;0821
1_73_192;1;1073;1423
1_73_193;2;1073;1515
1_73_195;1;1073;1610
1_73_196;2;1073;1707
1_73_198;2;1073;0700
1_73_199;1;1073;0751
1_73_200;2;1073;0841
1_73_201;1;1073;1442
1_73_202;2;1073;1535
1_73_203;1;1073;1631
1_73_204;2;1073;1727
1_73_206;2;1073;0718
1_73_208;1;1073;0811
1_73_210;2;1073;0902
1_73_211;1;1073;1353
1_73_213;2;1073;1445
1_73_215;1;1073;1540
1_73_216;2;1073;1635
1_73_218;1;1073;1734
1_73_219;2;1073;0735
1_73_221;1;1073;0833
1_73_222;1;1073;1501
1_73_224;2;1073;1555
1_73_226;1;1073;1653
1_16_1;2;1016;0530
1_16_3;1;1016;0602
1_16_4;2;1016;0630
1_16_6;1;1016;0702
1_16_7;2;1016;0730
1_16_9;1;1016;0802
1_16_10;2;1016;0830
1_16_12;1;1016;0902
1_16_13;2;1016;0930
1_16_15;1;1016;1002
1_16_16;2;1016;1030
1_16_18;1;1016;1102
1_16_19;2;1016;1130
1_16_21;1;1016;1202
1_16_22;2;1016;1230
1_16_24;1;1016;1302
1_16_25;2;1016;1330
1_16_27;1;1016;1402
1_16_28;2;1016;1430
1_16_30;1;1016;1502
1_16_31;2;1016;1530
1_16_33;1;1016;1602
1_16_34;2;1016;1630
1_16_36;1;1016;1702
1_16_37;2;1016;1730
1_16_39;1;1016;1802
1_16_40;2;1016;1830
1_16_42;1;1016;1902
1_16_43;2;1016;1930
1_16_45;1;1016;2002
1_16_46;2;1016;2030
1_16_48;1;1016;2110
1_16_49;2;1016;2140
1_16_51;1;1016;2210
1_16_52;2;1016;2240
1_16_54;1;1016;2310
1_16_55;2;1016;0550
1_16_57;1;1016;0622
1_16_58;2;1016;0650
1_16_60;1;1016;0722
1_16_61;2;1016;0750
1_16_63;1;1016;0822
1_16_64;2;1016;0850
1_16_66;1;1016;0922
1_16_67;2;1016;0950
1_16_69;1;1016;1022
1_16_70;2;1016;1050
1_16_72;1;1016;1122
1_16_73;2;1016;1150
1_16_75;1;1016;1222
1_16_76;2;1016;1250
1_16_78;1;1016;1322
1_16_79;2;1016;1350
1_16_81;1;1016;1422
1_16_82;2;1016;1450
1_16_84;1;1016;1522
1_16_85;2;1016;1550
1_16_87;1;1016;1622
1_16_88;2;1016;1650
1_16_90;1;1016;1722
1_16_91;2;1016;1750
1_16_93;1;1016;1822
1_16_94;2;1016;1850
1_16_96;1;1016;1922
1_16_97;2;1016;1950
1_16_99;1;1016;2022
1_16_100;2;1016;2050
1_16_101;2;1016;0610
1_16_103;1;1016;0642
1_16_104;2;1016;0710
1_16_106;1;1016;0742
1_16_107;2;1016;0810
1_16_109;1;1016;0842
1_16_110;2;1016;0910
1_16_112;1;1016;0942
1_16_113;2;1016;1010
1_16_115;1;1016;1042
1_16_116;2;1016;1110
1_16_118;1;1016;1142
1_16_119;2;1016;1210
1_16_121;1;1016;1242
1_16_122;2;1016;1310
1_16_124;1;1016;1342
1_16_125;2;1016;1410
1_16_127;1;1016;1442
1_16_128;2;1016;1510
1_16_130;1;1016;1542
1_16_131;2;1016;1610
1_16_133;1;1016;1642
1_16_134;2;1016;1710
1_16_136;1;1016;1742
1_16_137;2;1016;1810
1_16_139;1;1016;1842
1_16_140;2;1016;1910
1_16_142;1;1016;1942
1_16_143;2;1016;2010
1_16_145;1;1016;2042
1_16_146;2;1016;2110
1_16_148;1;1016;2140
1_16_149;2;1016;2210
1_16_151;1;1016;2240
1_16_152;2;1016;2310
1_16_154;1;1016;2340
4_73_2;2;1073N;0450
4_73_3;1;1073N;0540
4_73_5;2;1073;0621
4_73_6;1;1073;0709
4_73_8;2;1073;0800
4_73_10;2;1073;1352
4_73_12;1;1073;1451
4_73_13;2;1073;1545
4_73_15;1;1073;1642
4_73_16;2;1073;1741
4_73_17;1;1073;1827
4_73_19;2;1073;1922
4_73_20;1;1073;2007
4_73_21;2;1073N;0513
4_73_22;1;1073N;0600
4_73_23;2;1073;0651
4_73_24;1;1073;0741
4_73_25;2;1073;0831
4_73_27;1;1073;0925
4_73_29;2;1073;1012
4_73_30;1;1073;1105
4_73_32;2;1073;1152
4_73_33;1;1073;1244
4_73_35;2;1073;1332
4_73_37;1;1073;1432
4_73_39;2;1073;1525
4_73_40;1;1073;1620
4_73_41;2;1073;1717
4_73_42;1;1073;1807
4_73_44;2;1073;1902
4_73_45;1;1073;1947
4_73_47;2;1073;2044
4_73_48;1;1073;2129
4_73_50;2;1073N;2214
4_73_52;1;1073N;2300
4_73_53;2;1073N;2344
4_73_55;1;1073N;0030
4_73_56;2;1073N;0533
4_73_57;1;1073N;0620
4_73_58;2;1073;0709
4_73_60;1;1073;0801
4_73_61;2;1073;0852
4_73_62;1;1073;0945
4_73_64;2;1073;1032
4_73_65;1;1073;1125
4_73_67;2;1073;1212
4_73_68;1;1073;1303
4_73_69;2;1073;1412
4_73_71;1;1073;1510
4_73_72;2;1073;1605
4_73_74;1;1073;1703
4_73_75;2;1073;1802
4_73_76;1;1073;1847
4_73_78;2;1073;1942
4_73_79;1;1073;2027
4_73_80;2;1073;2114
4_73_82;1;1073;2201
4_73_83;2;1073N;2244
4_73_85;1;1073N;2330
4_73_86;2;1073N;0014
4_73_88;1;1073N;0100
4_73_89;2;1073;0551
4_73_91;1;1073;0636
4_73_93;2;1073;0727
4_73_95;1;1073;0823
4_73_96;2;1073;0912
4_73_97;1;1073;1005
4_73_99;2;1073;1052
4_73_100;1;1073;1144
4_73_102;2;1073;1232
4_73_103;1;1073;1323
4_73_105;2;1073;1425
4_73_106;1;1073;1520
4_73_107;2;1073;1615
4_73_109;1;1073;1713
4_73_111;2;1073;0601
4_73_112;1;1073;0650
4_73_114;2;1073;0743
4_73_116;1;1073;0844
4_73_117;2;1073;0932
4_73_118;1;1073;1025
4_73_120;2;1073;1112
4_73_121;1;1073;1204
4_73_123;2;1073;1252
4_73_124;1;1073;1343
4_73_126;2;1073;1435
4_73_127;1;1073;1530
4_73_129;2;1073;1625
4_73_131;1;1073;1724
4_73_132;2;1073;1822
4_73_133;1;1073;1907
4_73_135;2;1073;2003
4_73_136;1;1073;2047
4_73_137;2;1073N;2144
4_73_139;1;1073N;2230
4_73_140;2;1073N;2314
4_73_142;1;1073N;0000
4_73_143;2;1073N;0044
4_73_145;1;1073N;0130
4_73_146;2;1073;0611
4_73_148;1;1073;0659
4_73_149;2;1073;0750
4_73_151;1;1073;0854
4_73_152;1;1073;1413
4_73_154;2;1073;1505
4_73_156;1;1073;1600
4_73_158;2;1073;1656
4_73_159;1;1073;1755
4_73_161;2;1073;0631
4_73_163;1;1073;0719
4_73_164;2;1073;0810
4_73_166;1;1073;0905
4_73_168;2;1073;0952
4_73_169;1;1073;1045
4_73_171;2;1073;1132
4_73_172;1;1073;1224
4_73_174;2;1073;1312
4_73_175;1;1073;1403
4_73_176;2;1073;1455
4_73_178;1;1073;1550
4_73_179;2;1073;1645
4_73_181;1;1073;1745
4_73_183;2;1073;1842
4_73_184;1;1073;1927
4_73_186;2;1073;2023
4_73_187;1;1073;2107
4_73_188;2;1073;0641
4_73_189;1;1073;0731
4_73_191;2;1073;0821
4_73_192;1;1073;1423
4_73_193;2;1073;1515
4_73_195;1;1073;1610
4_73_196;2;1073;1707
4_73_198;2;1073;0700
4_73_199;1;1073;0751
4_73_200;2;1073;0841
4_73_201;1;1073;1442
4_73_202;2;1073;1535
4_73_203;1;1073;1631
4_73_204;2;1073;1727
4_73_206;2;1073;0718
4_73_208;1;1073;0811
4_73_210;2;1073;0902
4_73_211;1;1073;1353
4_73_213;2;1073;1445
4_73_215;1;1073;1540
4_73_216;2;1073;1635
4_73_218;1;1073;1734
4_73_219;2;1073;0735
4_73_221;1;1073;0833
4_73_222;1;1073;1501
4_73_224;2;1073;1555
4_73_226;1;1073;1653
4_16_1;2;1016;0530
4_16_3;1;1016;0602
4_16_4;2;1016;0630
4_16_6;1;1016;0702
4_16_7;2;1016;0730
4_16_9;1;1016;0802
4_16_10;2;1016;0830
4_16_12;1;1016;0902
4_16_13;2;1016;0930
4_16_15;1;1016;1002
4_16_16;2;1016;1030
4_16_18;1;1016;1102
4_16_19;2;1016;1130
4_16_21;1;1016;1202
4_16_22;2;1016;1230
4_16_24;1;1016;1302
4_16_25;2;1016;1330
4_16_27;1;1016;1402
4_16_28;2;1016;1430
4_16_30;1;1016;1502
4_16_31;2;1016;1530
4_16_33;1;1016;1602
4_16_34;2;1016;1630
4_16_36;1;1016;1702
4_16_37;2;1016;1730
4_16_39;1;1016;1802
4_16_40;2;1016;1830
4_16_42;1;1016;1902
4_16_43;2;1016;1930
4_16_45;1;1016;2002
4_16_46;2;1016;2030
4_16_48;1;1016;2110
4_16_49;2;1016;2140
4_16_51;1;1016;2210
4_16_52;2;1016;2240
4_16_54;1;1016;2310
4_16_55;2;1016;0550
4_16_57;1;1016;0622
4_16_58;2;1016;0650
4_16_60;1;1016;0722
4_16_61;2;1016;0750
4_16_63;1;1016;0822
4_16_64;2;1016;0850
4_16_66;1;1016;0922
4_16_67;2;1016;0950
4_16_69;1;1016;1022
4_16_70;2;1016;1050
4_16_72;1;1016;1122
4_16_73;2;1016;1150
4_16_75;1;1016;1222
4_16_76;2;1016;1250
4_16_78;1;1016;1322
4_16_79;2;1016;1350
4_16_81;1;1016;1422
4_16_82;2;1016;1450
4_16_84;1;1016;1522
4_16_85;2;1016;1550
4_16_87;1;1016;1622
4_16_88;2;1016;1650
4_16_90;1;1016;1722
4_16_91;2;1016;1750
4_16_93;1;1016;1822
4_16_94;2;1016;1850
4_16_96;1;1016;1922
4_16_97;2;1016;1950
4_16_99;1;1016;2022
4_16_100;2;1016;2050
4_16_101;2;1016;0610
4_16_103;1;1016;0642
4_16_104;2;1016;0710
4_16_106;1;1016;0742
4_16_107;2;1016;0810
4_16_109;1;1016;0842
4_16_110;2;1016;0910
4_16_112;1;1016;0942
4_16_113;2;1016;1010
4_16_115;1;1016;1042
4_16_116;2;1016;1110
4_16_118;1;1016;1142
4_16_119;2;1016;1210
4_16_121;1;1016;1242
4_16_122;2;1016;1310
4_16_124;1;1016;1342
4_16_125;2;1016;1410
4_16_127;1;1016;1442
4_16_128;2;1016;1510
4_16_130;1;1016;1542
4_16_131;2;1016;1610
4_16_133;1;1016;1642
4_16_134;2;1016;1710
4_16_136;1;1016;1742
4_16_137;2;1016;1810
4_16_139;1;1016;1842
4_16_140;2;1016;1910
4_16_142;1;1016;1942
4_16_143;2;1016;2010
4_16_145;1;1016;2042
4_16_146;2;1016;2110
4_16_148;1;1016;2140
4_16_149;2;1016;2210
4_16_151;1;1016;2240
4_16_152;2;1016;2310
4_16_154;1;1016;2340
5_73_1;2;1073N;0515
5_73_3;1;1073N;0605
5_73_4;2;1073N;0645
5_73_5;1;1073N;0735
5_73_6;2;1073;0822
